keyword,labs_volume,ads_volume,us_volume,difficulty,intent,source
"сео продвижение сайтов",50,50,,35,commercial,ideas
"прототип сайта",50,50,,0,navigational,ideas
"эсф старый сайт",50,50,,,navigational,ideas
"сайт обучай",50,50,,,navigational,ideas
"самрук казына тендер сайт",50,50,,44,navigational,ideas
"продвижение сайта в астане",50,50,,62,commercial,ideas
"левша сайт",50,50,,40,navigational,ideas
"скример сайт",50,50,,0,navigational,ideas
"прототип сайта пример",50,50,,42,informational,ideas
"сайт для учителей",50,50,,0,navigational,ideas
"купить сайт",50,50,,100,transactional,ideas
"you do сайт",50,50,,,navigational,ideas
"сайт на казахском",50,50,,0,navigational,ideas
"разработка и продвижение сайта",40,40,,100,commercial,ideas
"бункер сайт",40,40,,,navigational,ideas
"разработка и продвижение сайтов",40,40,,100,commercial,ideas
"продвижение сайта в яндекс",40,40,,45,commercial,ideas
"создание сайта цена",40,40,,15,commercial,ideas
"рутор сайт",40,40,,0,navigational,ideas
"alo официальный сайт",40,40,,,navigational,ideas
"колесо фортуны сайт",40,40,,42,navigational,ideas
"реклама сайт",30,30,,,commercial,ideas
"сайт визитка примеры",30,30,,26,navigational,ideas
"разработка веб-сайта",30,30,,71,informational,ideas
"сайт оку еду кз",30,30,,,navigational,ideas
"нгту сайт",30,30,,,navigational,ideas
"сайт самрук казына закупки",30,30,,44,navigational,ideas
"поиск структур по сиду сайт",30,30,,,navigational,ideas
"сайт с мемами",30,30,,,informational,ideas
"фк кызылжар сайт",30,30,,,navigational,ideas
"кс кейсы сайт",30,30,,,navigational,ideas
"сайт визитка пример",30,30,,26,navigational,ideas
"разработка web сайта",30,30,,100,commercial,ideas
"еаэс сайт",30,30,,47,navigational,ideas
"бесполезный сайт",30,30,,,informational,ideas
"ниш семей сайт",30,30,,,navigational,ideas
"tlauncher сайт",30,30,,,navigational,ideas
"исгп сайт",30,30,,,navigational,ideas
"что такое url сайта",30,30,,21,informational,ideas
"кгму сайт",20,20,,68,navigational,ideas
"вкгту сайт",20,20,,11,navigational,ideas
"кармет сайт",20,20,,,navigational,ideas
"миир рк сайт",20,20,,11,navigational,ideas
"спец цон сайт",20,20,,19,navigational,ideas
"двач сайт",20,20,,,navigational,ideas
"сайт разработка",20,20,,,navigational,ideas
"вф тру сайт",20,20,,,navigational,ideas
"сайт реала",20,20,,56,navigational,ideas
"сайт смотрим ру",20,20,,,navigational,ideas
"dr web официальный сайт",20,20,,54,navigational,ideas
"мцриап рк сайт",20,20,,,navigational,ideas
"оптимизация и продвижение сайтов",20,,,69,commercial,ideas
"вёрстка сайта это",20,,,,informational,ideas
"patreon сайт",20,,,,navigational,ideas
"cms сайта",20,,,49,informational,ideas
"азерти сайт",10,,,,navigational,ideas
"сайт консалтинговой компании",10,,,45,navigational,ideas
"одностраничный сайт пример",10,,,47,navigational,ideas
"сайт медеу",10,,,,navigational,ideas
"разработка сайта продвижение раскрутка сайта",10,,,,commercial,ideas
"продвижение сайта сайт",10,,,73,commercial,ideas
"ктл сайт астана",10,,,8,navigational,ideas
"чип и дейл сайт",10,,,47,navigational,ideas
"туран вода сайт",10,,,57,navigational,ideas
"сайт-визитка шаблон",10,,,,navigational,ideas
"акаша геншин сайт",10,,,,navigational,ideas
"метран сайт",10,,,42,navigational,ideas
"пример тз для сайта",10,,,43,informational,ideas
"anilibria регистрация новый сайт",10,,,,navigational,ideas
"сайт мгс",10,,,,navigational,ideas
"лдпр сайт",10,,,70,navigational,ideas
"скачать презентацию с сайта",10,,,54,informational,ideas
"белая техника сайт",10,,,,navigational,ideas
"меладзе официальный сайт",10,,,,navigational,ideas
"веб дизайн сайта",10,,,,informational,ideas
"черный камень сайт",10,,,38,informational,ideas
"агбк сайт",10,,,,navigational,ideas
"дс сайт",10,,,,navigational,ideas
"официальный сайт хатаба",10,,,,navigational,ideas
"черный экран сайт",10,,,,navigational,ideas
"корпоративный сайт пример",10,,,,navigational,ideas
"сайт зеркало",10,,,47,informational,ideas
"диктор сайт",10,,,,navigational,ideas
"пример технического задания на разработку сайта",10,,,43,informational,ideas
"разработка сайтов алматы цена",10,,,,commercial,ideas
"разработка интернет магазина",10,,,32,informational,ideas
"репутация сайта",10,,,,informational,ideas
"примеры дизайна сайта",10,,,44,informational,ideas
"jove сайт",10,,,,navigational,ideas
"анекс поиск тура старый сайт",10,,,,navigational,ideas
"фавикон для сайта",10,,,,navigational,ideas
"зенит сайт",10,,,,navigational,ideas
"актобе сайт",10,,,,navigational,ideas
"поперечный сайт",10,,,,informational,ideas
"есутд сайт",,,,,navigational,ideas
"flibustier сайт",,,,,navigational,ideas
"караганды су сайт",,,,,navigational,ideas
"айкос сайт",,,,59,navigational,ideas
"детский мир сайт",,,,,navigational,ideas
"тоо каракудукмунай сайт",,,,,navigational,ideas
"сайт партии ауыл",,,,,navigational,ideas
"разработка сайта на next js",,,,,,seed
"многоязычный сайт",,0,,,,seed,curated
"headless cms сайт",,,,,,seed
"продвижение в нейросетях",,10,,,,seed
"оптимизация под ии поиск",,,,,,seed
"сайт для консультанта",,,,,,seed,curated
"сайт эксперта",,10,,,,seed,curated
"сайт для консалтинговой компании",,,,,,seed
"сайт с калькулятором",,,,,,seed,curated
"пример сайта",,50,,,,seed
"как попасть в ответы chatgpt",,,,,,seed,curated
"как попасть в ответы нейросетей",,,,,,seed,curated
"сайт для эксперта",,,,,,curated
"личный сайт эксперта",,,,,,curated
"сайт эксперта пример",,,,,,curated
"сайт для аналитика",,,,,,curated
"калькулятор на сайт",,,,,,curated
"многоязычный сайт пример",,,,,,curated
"пример сайта эксперта",,,,,,curated
"кейс разработки сайта",,,,,,curated
"кейс создание сайта",,,,,,curated
"портфолио веб разработчика",,,,,,curated
"продвижение в chatgpt",,,,,,curated
"сайт на next js",,,,,,curated
"sanity cms",,,,,,curated
"сайт для коуча",,,,,,curated
"сайт для психолога",,,,,,curated
"сайт для консалтинга",,,,,,curated
"создание сайта для эксперта",,,,,,curated
"сайт для бизнес консультанта",,,,,,curated
"сайт визитка для эксперта",,,,,,curated
"экспертный сайт",,,,,,curated
"создание сайта эксперта",,,,,,curated
"сайт эксперта под ключ",,,,,,curated
"личный сайт",,,,,,curated
"личный сайт специалиста",,,,,,curated
"сайт специалиста",,,,,,curated
"сайт для специалиста",,,,,,curated
"сайт для бизнес тренера",,,,,,curated
"сайт аналитика",,,,,,curated
"кейс сайт эксперта",,,,,,curated
"калькулятор для сайта",,,,,,curated
"калькуляторы на сайте",,,,,,curated
"сайт консультанта",,,,,,curated
